20 3 2
1000 1000 1000
1000 1000 1000

0	98	1320
1	713	1204
2	1331	1339
3	1050	1328
4	703	1393
5	311	737
6	880	942
7	1230	1323
8	475	961
9	1114	1317
10	853	1080
11	793	1101
12	204	1168
13	1140	1440
14	1014	1307
15	2	1054
16	386	747
17	695	965
18	195	202
19	612	1436

696 289 248
910 304 83
42 331 304
989 109 240
548 662 138
359 437 656
447 883 316
53 805 796
585 786 919
510 414 331
924 643 123
93 265 27
465 242 364
998 883 113
366 694 598
652 924 940
727 113 709
302 409 803
421 624 738
390 508 435
