Instance:Instances/0/80/3/4/instance0-80-3-4.data
Solution status:Mip1
Optimal Value=42
temps écoulé (en secondes):5.27513
IdMachine Nombre de jobs ordonnancés
0 11
1 11
2 8
3 12
IdMachine n°Job Si Fi 
0 0 547 691
0 3 1227 1426
0 8 1324 1338
0 9 983 1365
0 15 1384 1410
0 17 909 922
0 50 963 964
0 52 265 344
0 54 150 352
0 57 1019 1210
0 67 691 896
1 1 1183 1204
1 6 1261 1328
1 20 1362 1390
1 26 1395 1412
1 31 850 870
1 35 587 725
1 41 770 842
1 45 895 1087
1 47 252 480
1 48 1102 1150
1 74 1328 1370
2 16 494 612
2 22 1083 1265
2 43 956 1015
2 63 189 458
2 68 1314 1350
2 70 1364 1404
2 72 612 852
2 76 319 1035
3 28 838 1130
3 30 1333 1396
3 37 1280 1367
3 39 899 1134
3 49 717 778
3 55 586 700
3 56 1245 1325
3 58 633 1150
3 59 791 826
3 62 119 668
3 77 314 443
3 79 1131 1200
Instance:Instances/0/80/3/4/instance1-80-3-4.data
Solution status:Mip1
Optimal Value=40
temps écoulé (en secondes):4.11789
IdMachine Nombre de jobs ordonnancés
0 8
1 11
2 11
3 10
IdMachine n°Job Si Fi 
0 11 932 1088
0 20 132 678
0 24 1298 1403
0 27 1180 1434
0 37 384 544
0 56 484 915
0 59 756 1253
0 75 40 80
1 3 212 320
1 8 1350 1377
1 12 713 940
1 26 993 1082
1 32 515 1143
1 49 1067 1074
1 51 1153 1325
1 53 496 497
1 54 324 364
1 62 501 599
1 71 1384 1419
2 2 1319 1379
2 7 1405 1411
2 9 1426 1436
2 33 159 645
2 46 685 869
2 52 346 611
2 64 1244 1308
2 69 1414 1416
2 73 1413 1414
2 76 997 1089
2 78 798 855
3 4 1334 1431
3 5 834 1003
3 21 1016 1029
3 29 1243 1304
3 36 1072 1101
3 38 133 508
3 42 845 1001
3 47 612 828
3 63 1328 1363
3 68 520 746
Instance:Instances/0/80/3/4/instance2-80-3-4.data
Solution status:Mip1
Optimal Value=37
temps écoulé (en secondes):5.05178
IdMachine Nombre de jobs ordonnancés
0 11
1 9
2 8
3 9
IdMachine n°Job Si Fi 
0 5 999 1020
0 13 915 935
0 20 1254 1329
0 23 404 455
0 34 1047 1211
0 38 1399 1428
0 60 1033 1035
0 68 1435 1438
0 69 1324 1365
0 75 505 949
0 76 226 367
1 6 911 1064
1 8 349 385
1 11 1152 1260
1 21 1400 1435
1 29 816 1084
1 50 1104 1148
1 52 1286 1387
1 55 307 962
1 72 487 767
2 9 195 384
2 22 441 572
2 37 106 185
2 47 952 1115
2 53 574 922
2 66 933 935
2 74 1285 1426
2 77 1205 1267
3 1 1404 1421
3 19 1372 1386
3 26 354 382
3 35 430 1439
3 48 503 1379
3 61 86 278
3 65 322 354
3 73 466 1130
3 78 1176 1363
Instance:Instances/0/80/3/4/instance3-80-3-4.data
Solution status:Mip1
Optimal Value=40
temps écoulé (en secondes):2.20898
IdMachine Nombre de jobs ordonnancés
0 11
1 8
2 11
3 10
IdMachine n°Job Si Fi 
0 18 1062 1136
0 27 1417 1437
0 32 903 1046
0 35 1394 1417
0 36 364 458
0 41 570 780
0 53 1386 1406
0 61 651 694
0 69 1163 1377
0 70 1290 1319
0 71 781 846
1 0 797 854
1 2 1273 1422
1 33 1174 1204
1 38 7 718
1 48 1042 1079
1 52 1205 1424
1 74 927 984
1 78 196 752
2 24 613 794
2 25 823 949
2 26 1285 1294
2 28 271 490
2 37 1412 1435
2 39 982 1242
2 40 507 564
2 44 96 182
2 46 1359 1403
2 54 632 807
2 66 1247 1268
3 11 373 543
3 12 818 1044
3 20 1390 1421
3 23 302 329
3 34 597 650
3 43 168 277
3 47 671 1256
3 51 1261 1386
3 59 30 295
3 67 567 636
Instance:Instances/0/80/3/4/instance4-80-3-4.data
Solution status:Mip1
Optimal Value=38
temps écoulé (en secondes):4.77713
IdMachine Nombre de jobs ordonnancés
0 10
1 10
2 8
3 10
IdMachine n°Job Si Fi 
0 0 1274 1415
0 4 942 1005
0 6 1437 1439
0 15 107 160
0 18 188 219
0 22 1038 1090
0 30 1107 1338
0 45 689 942
0 50 183 851
0 53 1026 1027
1 12 1252 1340
1 13 766 996
1 23 894 1429
1 34 1050 1219
1 41 1022 1204
1 43 1376 1411
1 52 278 348
1 65 644 743
1 76 88 268
1 79 358 619
2 2 794 1059
2 16 1362 1386
2 20 512 561
2 31 1152 1286
2 38 1121 1131
2 56 759 771
2 60 137 232
2 64 665 718
3 5 304 371
3 9 635 881
3 17 1 223
3 26 1284 1319
3 28 1337 1389
3 37 893 974
3 46 1017 1361
3 47 1110 1209
3 48 570 1101
3 67 1004 1233
Instance:Instances/0/80/3/4/instance5-80-3-4.data
Solution status:Mip1
Optimal Value=38
temps écoulé (en secondes):3.92054
IdMachine Nombre de jobs ordonnancés
0 9
1 10
2 11
3 8
IdMachine n°Job Si Fi 
0 0 617 847
0 6 334 399
0 13 1260 1357
0 30 1415 1434
0 33 569 1325
0 42 83 614
0 56 888 1172
0 69 875 972
0 79 1022 1148
1 4 1328 1362
1 8 1303 1426
1 10 1258 1296
1 14 665 962
1 19 1065 1258
1 21 131 146
1 23 453 942
1 51 352 552
1 66 1047 1203
1 68 1433 1435
2 11 991 1029
2 12 1303 1413
2 22 337 486
2 24 503 974
2 26 521 960
2 28 1064 1159
2 35 1009 1014
2 41 1021 1048
2 49 1204 1287
2 59 1212 1333
2 61 489 520
3 2 663 1223
3 9 691 742
3 17 781 977
3 43 1137 1440
3 47 1236 1387
3 64 377 536
3 76 3 376
3 78 1045 1083
Instance:Instances/0/80/3/4/instance6-80-3-4.data
Solution status:Mip1
Optimal Value=38
temps écoulé (en secondes):3.68063
IdMachine Nombre de jobs ordonnancés
0 10
1 8
2 11
3 9
IdMachine n°Job Si Fi 
0 4 280 396
0 5 876 970
0 11 1368 1434
0 18 458 631
0 29 1333 1427
0 45 620 1087
0 49 340 620
0 51 33 78
0 56 1136 1257
0 77 982 1023
1 6 1161 1335
1 12 710 1064
1 14 226 367
1 19 544 559
1 33 578 1146
1 53 9 222
1 60 675 1115
1 65 1344 1427
2 13 1224 1382
2 16 158 432
2 17 1361 1396
2 31 869 993
2 32 1013 1042
2 41 802 828
2 50 1415 1426
2 61 1084 1206
2 66 544 702
2 72 1400 1415
2 76 448 692
3 7 1402 1420
3 9 361 475
3 24 1423 1435
3 30 228 722
3 36 749 1180
3 37 974 1177
3 43 1022 1164
3 70 1197 1303
3 74 541 967
Instance:Instances/0/80/3/4/instance7-80-3-4.data
Solution status:Mip1
Optimal Value=41
temps écoulé (en secondes):4.53523
IdMachine Nombre de jobs ordonnancés
0 10
1 11
2 11
3 9
IdMachine n°Job Si Fi 
0 11 1267 1427
0 18 980 1233
0 24 962 1171
0 37 552 943
0 40 327 398
0 45 257 636
0 50 808 972
0 54 477 803
0 69 404 429
0 72 430 893
1 1 1023 1219
1 13 687 690
1 23 1241 1343
1 36 1355 1425
1 38 30 659
1 46 943 980
1 58 39 357
1 64 1021 1166
1 65 921 1216
1 70 1091 1211
1 79 739 789
2 3 979 1036
2 6 1194 1375
2 8 1163 1179
2 16 1115 1129
2 21 743 829
2 39 652 702
2 44 179 229
2 49 1423 1427
2 56 275 643
2 62 904 1008
2 71 1061 1112
3 0 1155 1193
3 4 1082 1276
3 33 620 782
3 52 1382 1434
3 53 907 974
3 59 159 526
3 68 1287 1309
3 73 597 1136
3 75 1338 1370
Instance:Instances/0/80/3/4/instance8-80-3-4.data
Solution status:Mip1
Optimal Value=37
temps écoulé (en secondes):2.86055
IdMachine Nombre de jobs ordonnancés
0 9
1 10
2 10
3 8
IdMachine n°Job Si Fi 
0 16 1366 1396
0 17 60 632
0 22 1060 1290
0 27 959 1013
0 28 121 539
0 44 705 874
0 46 915 959
0 70 1311 1437
0 71 1234 1284
1 5 24 449
1 6 999 1001
1 13 1289 1321
1 24 735 977
1 37 1412 1427
1 39 1343 1405
1 72 453 735
1 74 475 883
1 76 1233 1236
1 78 1035 1221
2 8 1138 1177
2 11 427 779
2 18 263 317
2 26 256 683
2 43 841 944
2 45 962 1009
2 48 90 248
2 55 14 87
2 63 1221 1422
2 67 1117 1119
3 4 843 1043
3 7 1406 1426
3 12 308 675
3 20 75 202
3 32 1061 1259
3 38 1319 1385
3 77 686 714
3 79 260 1085
Instance:Instances/0/80/3/4/instance9-80-3-4.data
Solution status:Mip1
Optimal Value=38
temps écoulé (en secondes):2.68386
IdMachine Nombre de jobs ordonnancés
0 10
1 8
2 10
3 10
IdMachine n°Job Si Fi 
0 1 543 1024
0 4 33 712
0 9 1392 1434
0 16 1416 1425
0 20 892 1199
0 33 1353 1388
0 38 851 1155
0 55 1202 1409
0 56 1202 1271
0 72 728 823
1 2 1247 1280
1 17 51 545
1 22 700 787
1 25 1411 1436
1 26 834 1239
1 29 1369 1377
1 46 888 1150
1 54 1323 1352
2 0 780 918
2 12 1437 1438
2 30 1101 1114
2 43 140 332
2 50 540 560
2 51 1315 1415
2 61 488 490
2 69 1211 1387
2 70 1208 1271
2 78 934 1072
3 5 226 283
3 7 1025 1094
3 15 59 187
3 18 460 568
3 31 1226 1322
3 36 1044 1156
3 39 1373 1374
3 60 1399 1423
3 63 515 953
3 75 1395 1428
