200 3 4
1000 1000 1000
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	1319	1437
1	1419	1430
2	1016	1262
3	731	931
4	668	746
5	791	1430
6	498	1155
7	762	1205
8	614	1108
9	863	1352
10	995	1222
11	482	968
12	363	530
13	712	1170
14	537	869
15	1334	1435
16	599	915
17	663	918
18	419	1240
19	1068	1430
20	856	1282
21	814	1286
22	898	1231
23	452	1438
24	1388	1440
25	419	660
26	1338	1353
27	119	919
28	741	907
29	734	1144
30	796	922
31	612	1316
32	578	1095
33	711	1344
34	1271	1410
35	337	1325
36	216	1013
37	640	1148
38	371	728
39	806	1028
40	831	1437
41	1062	1349
42	1108	1113
43	2	229
44	1202	1293
45	369	1309
46	1228	1296
47	422	1166
48	518	1008
49	547	1040
50	173	906
51	1438	1439
52	1150	1229
53	936	1155
54	1266	1372
55	484	1388
56	1311	1325
57	1097	1436
58	569	992
59	303	1265
60	481	933
61	112	978
62	283	1085
63	804	1029
64	94	361
65	312	1360
66	808	1352
67	193	676
68	980	1232
69	9	564
70	940	1103
71	964	969
72	984	1183
73	118	1089
74	444	960
75	299	734
76	335	673
77	734	1292
78	1055	1204
79	1132	1351
80	1301	1395
81	671	1023
82	71	1388
83	330	1304
84	1143	1439
85	272	590
86	1419	1423
87	554	1342
88	383	846
89	916	1426
90	295	672
91	1254	1389
92	627	1048
93	1099	1213
94	1026	1295
95	219	364
96	133	235
97	209	488
98	344	430
99	7	760
100	1062	1190
101	1109	1287
102	1325	1405
103	1011	1418
104	1068	1178
105	100	875
106	1181	1303
107	243	262
108	1298	1392
109	1393	1405
110	1423	1430
111	59	888
112	1171	1335
113	105	847
114	1385	1388
115	775	1088
116	12	424
117	551	1138
118	1207	1361
119	556	1281
120	413	700
121	1389	1392
122	370	801
123	690	1337
124	468	1428
125	693	791
126	1334	1367
127	342	1271
128	402	573
129	392	866
130	1419	1440
131	15	393
132	932	1006
133	1332	1393
134	1076	1222
135	639	1279
136	1314	1392
137	912	1131
138	1326	1363
139	1083	1412
140	203	341
141	706	709
142	1060	1100
143	1058	1426
144	703	831
145	63	1034
146	504	637
147	139	1329
148	969	1262
149	1188	1427
150	1250	1252
151	1252	1357
152	1213	1410
153	1243	1410
154	318	1107
155	462	1018
156	535	1290
157	1141	1244
158	424	798
159	1071	1080
160	627	685
161	1190	1358
162	1225	1351
163	1439	1440
164	1358	1418
165	1372	1390
166	48	981
167	15	1169
168	972	1261
169	1430	1437
170	981	1225
171	1382	1399
172	1307	1342
173	1245	1291
174	1402	1412
175	180	1183
176	894	1252
177	147	1185
178	21	1152
179	693	1201
180	127	1201
181	508	518
182	847	1232
183	721	948
184	326	929
185	762	1293
186	901	1310
187	578	667
188	259	1237
189	373	499
190	244	336
191	816	930
192	347	1278
193	974	1179
194	23	768
195	170	1155
196	752	995
197	644	1313
198	1052	1376
199	935	1233

965 581 531
445 212 790
892 586 584
43 349 559
589 438 626
975 75 911
802 241 694
226 60 366
998 816 915
484 839 103
137 745 498
797 555 993
567 57 296
854 322 150
142 484 919
485 791 673
15 609 397
706 687 4
137 840 524
278 712 159
580 787 724
880 95 133
783 459 661
120 417 371
687 845 418
698 374 730
461 890 291
541 28 877
345 206 302
142 872 515
747 575 117
611 883 834
979 15 740
716 41 528
85 309 916
65 949 344
683 884 727
697 172 108
793 608 711
778 423 295
440 625 759
787 771 471
300 380 541
990 378 184
443 781 889
448 141 211
242 690 212
707 487 803
579 406 610
12 251 225
919 377 717
825 862 363
551 180 640
222 904 896
908 177 855
981 85 773
73 710 131
359 875 250
854 824 361
558 759 425
911 802 980
590 286 449
35 833 307
335 220 464
78 589 196
307 338 913
211 344 422
722 912 270
646 920 310
853 825 586
992 728 671
130 506 553
209 21 636
547 46 730
636 462 29
877 893 841
95 975 281
430 196 204
253 312 412
741 6 467
80 925 786
915 483 103
847 260 719
820 829 658
237 954 723
131 367 491
467 825 638
271 480 838
459 659 58
36 299 561
419 773 736
371 531 244
107 77 357
950 738 851
293 410 340
753 120 767
192 188 380
444 656 447
944 432 147
463 297 154
789 761 746
135 508 353
383 704 473
309 27 397
246 70 573
551 701 460
88 402 475
268 564 898
58 267 706
544 518 713
783 856 497
868 280 968
944 339 446
416 268 47
565 333 100
801 770 569
463 352 565
689 733 853
228 931 93
420 494 291
162 551 849
27 97 443
958 817 925
147 726 813
156 292 526
250 598 490
408 313 934
859 197 282
763 545 614
546 971 43
544 704 845
439 216 131
408 469 363
180 154 856
645 921 173
249 673 360
182 158 715
120 942 235
108 387 109
884 507 580
242 838 904
167 797 978
598 953 167
197 609 795
946 764 832
550 954 383
690 69 298
25 867 183
595 55 226
867 505 492
286 583 83
716 15 360
370 304 624
896 191 799
77 799 518
156 824 206
798 556 212
38 576 439
193 911 202
119 744 824
225 254 266
958 929 518
547 410 115
917 564 725
852 327 615
85 791 394
435 948 175
343 323 625
18 404 67
289 484 96
839 934 867
967 710 43
431 321 151
72 937 497
702 931 194
709 426 786
145 191 358
6 833 270
443 977 408
690 104 627
1 991 161
625 875 194
556 140 510
38 130 635
383 691 123
943 817 908
272 24 661
407 739 361
454 741 25
269 40 697
264 26 397
157 626 933
773 52 538
319 568 737
915 201 244
881 955 530
59 129 618
65 728 726
503 682 811
464 562 157
