200 3 4
1000 1000 1000
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	584	694
1	435	499
2	142	1150
3	840	1216
4	1291	1318
5	734	1295
6	363	892
7	194	468
8	680	746
9	1356	1388
10	507	1240
11	645	1390
12	847	1016
13	597	992
14	325	713
15	1273	1422
16	136	1340
17	813	1053
18	307	1088
19	524	1314
20	1038	1048
21	493	1188
22	311	1180
23	505	868
24	867	917
25	67	871
26	487	1232
27	1035	1037
28	290	780
29	743	1037
30	1133	1223
31	124	931
32	1014	1032
33	761	1196
34	265	1190
35	821	1079
36	1323	1413
37	1176	1225
38	156	350
39	1111	1126
40	802	1266
41	1019	1260
42	360	799
43	1203	1298
44	804	967
45	114	828
46	606	1131
47	1247	1325
48	1024	1372
49	312	1245
50	883	1096
51	541	730
52	603	902
53	225	869
54	1142	1272
55	323	829
56	1244	1298
57	154	442
58	510	759
59	315	773
60	153	887
61	55	645
62	590	1391
63	1220	1237
64	961	1256
65	1071	1318
66	347	805
67	880	1347
68	618	1128
69	174	415
70	1218	1378
71	822	892
72	151	1407
73	233	1281
74	922	1015
75	753	1318
76	971	1377
77	881	1332
78	1198	1273
79	999	1157
80	1298	1341
81	839	1376
82	1055	1144
83	829	1296
84	66	1141
85	659	972
86	655	937
87	1158	1246
88	1386	1400
89	101	1328
90	52	263
91	140	1022
92	941	974
93	76	1043
94	301	745
95	1310	1436
96	523	636
97	1000	1183
98	1213	1337
99	679	1220
100	373	463
101	371	533
102	1025	1114
103	596	1076
104	369	896
105	604	1275
106	905	1101
107	1158	1169
108	1436	1437
109	886	1346
110	1047	1392
111	723	977
112	292	711
113	383	1255
114	1416	1439
115	393	1013
116	1410	1429
117	268	330
118	820	994
119	568	1382
120	579	1012
121	824	1387
122	904	1180
123	685	1423
124	681	1091
125	1372	1377
126	92	1379
127	583	1339
128	1236	1301
129	619	1412
130	803	1103
131	1246	1280
132	1223	1299
133	165	177
134	721	1038
135	206	548
136	1238	1342
137	992	999
138	466	950
139	1205	1382
140	397	511
141	388	1128
142	355	1016
143	1018	1366
144	686	944
145	1083	1171
146	1180	1217
147	144	577
148	175	505
149	925	964
150	1069	1239
151	30	1317
152	746	1205
153	635	815
154	1053	1404
155	869	965
156	443	1081
157	1156	1327
158	1112	1255
159	759	1362
160	149	533
161	630	649
162	1007	1113
163	1437	1440
164	406	1418
165	94	124
166	713	1077
167	478	1050
168	611	1340
169	772	990
170	1133	1222
171	742	1153
172	649	1177
173	843	1272
174	373	457
175	1196	1311
176	1207	1239
177	71	251
178	1057	1189
179	643	674
180	1036	1148
181	74	318
182	303	486
183	863	898
184	1367	1416
185	111	1103
186	914	1144
187	776	824
188	162	1050
189	1249	1415
190	603	604
191	1125	1262
192	1404	1425
193	710	957
194	956	1379
195	879	1089
196	277	391
197	256	981
198	1204	1302
199	1036	1398

294 868 132
734 27 709
21 786 126
673 592 16
838 490 838
252 471 906
864 979 325
419 515 250
376 237 18
900 458 622
208 969 279
874 351 793
378 912 880
449 859 309
235 834 382
732 292 762
189 68 637
365 474 201
994 752 869
51 243 374
402 740 865
507 311 407
915 767 457
870 814 126
181 473 975
44 142 584
454 418 449
841 541 875
922 945 129
923 509 357
750 750 204
727 308 605
36 33 174
138 411 630
315 408 449
858 895 922
370 540 593
36 655 180
435 333 922
566 496 547
853 622 163
130 644 797
228 262 321
922 712 77
446 267 54
378 280 255
900 968 650
920 699 127
818 434 954
998 184 386
374 184 827
599 824 652
708 8 75
108 707 497
737 235 94
690 669 972
169 894 708
905 879 625
50 994 694
359 916 425
608 607 643
453 194 256
308 799 745
698 304 835
214 48 113
729 454 124
27 545 692
479 167 201
7 384 221
991 742 254
258 262 581
245 141 954
316 823 611
417 443 263
684 992 150
611 226 737
220 531 650
905 141 843
794 881 839
496 580 912
104 921 853
179 981 413
519 378 560
630 444 604
435 984 517
612 485 22
149 175 86
918 736 75
643 992 53
867 920 294
401 328 109
35 619 201
895 656 688
641 815 135
144 79 413
985 21 550
705 225 856
819 806 386
443 825 327
477 550 346
27 510 326
443 183 362
233 628 948
879 600 848
813 288 787
226 915 390
69 747 803
44 95 158
939 581 448
914 82 345
272 274 833
16 160 37
645 28 562
107 853 128
128 76 638
774 259 948
217 955 997
121 67 783
236 751 712
238 934 946
528 551 89
948 457 522
828 861 179
220 93 659
703 783 370
733 783 218
799 489 199
363 58 995
184 172 608
617 684 27
538 897 764
226 264 511
982 191 515
308 319 935
594 503 119
573 268 995
820 608 361
421 730 239
773 42 913
120 833 138
642 911 646
641 936 42
115 476 557
461 214 166
90 349 85
574 405 52
852 219 115
412 766 900
81 588 88
81 579 957
539 860 790
707 682 269
339 404 299
796 246 933
885 895 631
730 642 46
362 72 241
398 864 942
414 699 205
837 973 868
681 2 710
667 403 606
582 402 469
643 231 283
877 812 428
709 819 254
656 437 120
886 779 566
34 146 291
823 588 248
464 428 436
301 357 268
594 9 109
278 324 11
536 579 751
443 930 299
340 870 292
517 542 759
358 425 57
11 370 975
64 506 417
336 464 45
162 335 618
818 1000 929
823 302 506
498 888 711
523 633 555
36 324 303
339 25 99
878 920 83
310 167 952
696 931 927
185 1 805
124 442 566
955 823 316
537 140 232
98 350 358
43 356 878
11 902 219
308 38 400
