Instance:Instances/0/60/3/3/instance0-60-3-3.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):0.908459
IdMachine Nombre de jobs ordonnancés
0 10
1 8
2 8
IdMachine n°Job Si Fi 
0 3 1083 1100
0 16 1173 1269
0 21 687 767
0 24 609 630
0 25 514 541
0 27 913 1153
0 35 671 994
0 36 127 430
0 40 1299 1419
0 45 1165 1175
1 2 1150 1250
1 6 1274 1390
1 14 940 1021
1 31 618 909
1 43 61 508
1 53 1038 1112
1 55 831 876
1 58 52 806
2 10 802 954
2 13 232 417
2 15 1003 1104
2 26 1423 1440
2 28 1303 1339
2 46 600 729
2 51 1106 1298
2 54 1322 1423
Instance:Instances/0/60/3/3/instance1-60-3-3.data
Solution status:Mip1
Optimal Value=27
temps écoulé (en secondes):1.21847
IdMachine Nombre de jobs ordonnancés
0 10
1 9
2 8
IdMachine n°Job Si Fi 
0 14 612 688
0 18 949 1321
0 19 717 917
0 22 689 700
0 26 1363 1412
0 27 154 245
0 32 357 523
0 54 124 148
0 55 952 1424
0 59 47 121
1 1 1426 1431
1 2 379 1077
1 4 279 733
1 16 1407 1409
1 17 696 899
1 23 1096 1267
1 28 98 370
1 31 1283 1379
1 33 59 647
2 6 828 1051
2 12 1097 1231
2 15 883 989
2 20 361 736
2 30 363 766
2 48 1254 1306
2 51 831 882
2 52 35 329
Instance:Instances/0/60/3/3/instance2-60-3-3.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):1.01136
IdMachine Nombre de jobs ordonnancés
0 6
1 9
2 11
IdMachine n°Job Si Fi 
0 25 1283 1374
0 28 103 451
0 34 1007 1150
0 40 731 1006
0 46 1172 1347
0 58 462 627
1 1 170 568
1 2 480 967
1 12 137 474
1 18 564 737
1 23 1435 1437
1 38 981 1066
1 45 1324 1402
1 52 1245 1279
1 59 1095 1210
2 4 1030 1032
2 9 1235 1327
2 22 1077 1134
2 27 1156 1213
2 29 1406 1425
2 32 134 256
2 35 980 1025
2 43 381 800
2 47 1067 1147
2 54 260 549
2 55 622 969
Instance:Instances/0/60/3/3/instance3-60-3-3.data
Solution status:Mip1
Optimal Value=30
temps écoulé (en secondes):1.48732
IdMachine Nombre de jobs ordonnancés
0 13
1 10
2 7
IdMachine n°Job Si Fi 
0 0 1101 1369
0 3 140 165
0 8 915 1060
0 11 1216 1323
0 16 788 834
0 24 340 551
0 26 698 761
0 32 1359 1394
0 36 487 612
0 42 947 1029
0 43 1136 1207
0 44 19 41
0 54 208 483
1 6 997 1149
1 19 536 598
1 20 102 670
1 21 852 974
1 40 38 502
1 41 1437 1440
1 46 525 716
1 47 1220 1383
1 48 1407 1421
1 58 747 792
2 1 67 118
2 4 1026 1165
2 7 1251 1396
2 15 139 564
2 27 183 1240
2 28 641 946
2 33 254 1367
Instance:Instances/0/60/3/3/instance4-60-3-3.data
Solution status:Mip1
Optimal Value=24
temps écoulé (en secondes):0.991371
IdMachine Nombre de jobs ordonnancés
0 8
1 7
2 9
IdMachine n°Job Si Fi 
0 4 175 706
0 14 1335 1413
0 22 1029 1385
0 29 244 329
0 41 417 709
0 42 1420 1440
0 50 863 1190
0 56 1275 1284
1 7 426 772
1 20 1272 1293
1 25 1304 1392
1 27 894 1167
1 36 1011 1357
1 37 230 650
1 51 687 870
2 1 830 1019
2 2 645 800
2 5 1256 1288
2 28 447 532
2 30 551 607
2 34 1042 1256
2 38 1333 1368
2 39 224 486
2 46 1383 1384
Instance:Instances/0/60/3/3/instance5-60-3-3.data
Solution status:Mip1
Optimal Value=23
temps écoulé (en secondes):1.87636
IdMachine Nombre de jobs ordonnancés
0 5
1 8
2 10
IdMachine n°Job Si Fi 
0 22 1122 1138
0 27 1269 1420
0 40 193 536
0 54 925 1034
0 59 1142 1233
1 16 1201 1389
1 31 423 496
1 34 776 1378
1 38 1371 1400
1 39 320 1219
1 41 543 1136
1 49 938 1240
1 58 1402 1438
2 14 1328 1414
2 26 410 689
2 30 21 259
2 32 920 984
2 42 1123 1131
2 50 955 1043
2 51 1415 1428
2 52 382 640
2 53 991 1062
2 56 1164 1323
Instance:Instances/0/60/3/3/instance6-60-3-3.data
Solution status:Mip1
Optimal Value=28
temps écoulé (en secondes):1.43293
IdMachine Nombre de jobs ordonnancés
0 10
1 8
2 10
IdMachine n°Job Si Fi 
0 6 1437 1438
0 8 1183 1266
0 10 1321 1403
0 13 465 466
0 18 753 926
0 21 962 1118
0 30 1166 1413
0 34 432 445
0 40 543 755
0 44 28 350
1 2 126 482
1 5 1048 1097
1 9 118 803
1 14 1129 1191
1 24 960 1025
1 31 1222 1249
1 43 532 911
1 58 1284 1431
2 7 1380 1395
2 11 820 1104
2 15 105 251
2 16 1136 1247
2 17 1067 1110
2 25 523 646
2 36 1397 1430
2 37 1251 1323
2 39 1176 1305
2 59 711 830
Instance:Instances/0/60/3/3/instance7-60-3-3.data
Solution status:Mip1
Optimal Value=31
temps écoulé (en secondes):0.866073
IdMachine Nombre de jobs ordonnancés
0 8
1 14
2 9
IdMachine n°Job Si Fi 
0 4 35 411
0 5 1407 1411
0 15 474 815
0 16 1202 1220
0 21 854 1061
0 34 1081 1259
0 37 1282 1311
0 56 1191 1340
1 8 1410 1422
1 10 605 699
1 14 815 965
1 22 908 1109
1 32 1226 1297
1 38 113 308
1 41 1359 1373
1 42 350 598
1 44 835 1068
1 46 1433 1440
1 51 311 497
1 52 1384 1386
1 53 1090 1176
1 59 1304 1375
2 0 1051 1069
2 1 571 814
2 2 122 461
2 6 846 911
2 17 1103 1217
2 18 994 1018
2 26 1283 1419
2 47 299 492
2 55 1096 1213
