Instance:Instances/0/60/3/4/instance0-60-3-4.data
Solution status:Mip1
Optimal Value=33
temps écoulé (en secondes):2.26758
IdMachine Nombre de jobs ordonnancés
0 8
1 8
2 10
3 7
IdMachine n°Job Si Fi 
0 7 1391 1415
0 9 1075 1282
0 22 1424 1430
0 27 308 863
0 30 155 333
0 33 379 1275
0 35 1339 1389
0 58 523 1057
1 3 772 875
1 4 959 1019
1 17 1137 1278
1 18 1342 1376
1 25 64 749
1 34 1091 1129
1 42 132 559
1 57 1378 1393
2 0 1113 1152
2 19 1163 1205
2 20 892 1160
2 21 1438 1439
2 24 1222 1418
2 32 819 1081
2 38 1352 1396
2 44 557 845
2 50 1420 1436
2 56 122 623
3 2 523 535
3 11 1416 1440
3 23 1207 1349
3 40 161 358
3 47 493 1082
3 49 1381 1394
3 59 1093 1145
Instance:Instances/0/60/3/4/instance1-60-3-4.data
Solution status:Mip1
Optimal Value=32
temps écoulé (en secondes):3.90075
IdMachine Nombre de jobs ordonnancés
0 8
1 7
2 11
3 6
IdMachine n°Job Si Fi 
0 3 1024 1285
0 8 722 835
0 12 422 480
0 25 1366 1379
0 26 1286 1349
0 27 978 1021
0 30 30 554
0 36 1111 1339
1 5 812 1362
1 10 960 1189
1 13 274 396
1 14 1398 1434
1 31 1392 1398
1 39 1293 1340
1 52 465 880
2 9 1360 1368
2 17 459 510
2 18 366 372
2 19 1385 1432
2 22 1289 1362
2 41 787 870
2 44 1113 1289
2 46 949 1099
2 49 301 348
2 50 542 786
2 54 989 1082
3 7 91 1060
3 20 1279 1419
3 21 1068 1251
3 28 424 1135
3 33 1112 1138
3 42 221 705
Instance:Instances/0/60/3/4/instance2-60-3-4.data
Solution status:Mip1
Optimal Value=34
temps écoulé (en secondes):2.74988
IdMachine Nombre de jobs ordonnancés
0 9
1 5
2 14
3 6
IdMachine n°Job Si Fi 
0 2 885 1013
0 4 1076 1142
0 6 144 277
0 16 1434 1435
0 24 406 804
0 25 1145 1426
0 30 615 1049
0 34 515 876
0 47 1182 1368
1 0 460 848
1 15 926 1303
1 26 321 1133
1 51 1253 1433
1 54 59 309
2 3 265 278
2 5 392 511
2 7 1414 1423
2 8 1359 1387
2 11 554 576
2 18 1333 1350
2 20 596 645
2 28 1326 1328
2 32 1291 1296
2 35 122 263
2 42 726 1176
2 50 1239 1266
2 53 1054 1271
2 56 646 667
3 9 850 1186
3 10 361 612
3 12 618 822
3 13 263 355
3 41 1237 1295
3 46 1328 1382
Instance:Instances/0/60/3/4/instance3-60-3-4.data
Solution status:Mip1
Optimal Value=32
temps écoulé (en secondes):1.13272
IdMachine Nombre de jobs ordonnancés
0 9
1 4
2 10
3 9
IdMachine n°Job Si Fi 
0 1 492 610
0 2 711 745
0 18 1220 1247
0 27 1222 1236
0 36 224 427
0 41 1308 1375
0 45 1110 1222
0 51 878 1110
0 54 1265 1289
1 30 879 1036
1 49 7 829
1 55 1089 1303
1 56 1308 1312
2 6 1311 1421
2 9 882 1121
2 12 163 719
2 15 24 236
2 16 781 802
2 17 1132 1256
2 26 1426 1429
2 33 514 716
2 53 1264 1311
2 59 1436 1437
3 21 943 1174
3 22 453 526
3 24 299 342
3 25 540 931
3 28 1249 1271
3 29 690 1074
3 43 1308 1327
3 44 1348 1437
3 46 60 262
Instance:Instances/0/60/3/4/instance4-60-3-4.data
Solution status:Mip1
Optimal Value=34
temps écoulé (en secondes):2.02716
IdMachine Nombre de jobs ordonnancés
0 11
1 9
2 7
3 7
IdMachine n°Job Si Fi 
0 6 969 1024
0 7 1129 1323
0 19 828 899
0 30 1040 1103
0 34 571 858
