20 3 3
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	340	1130
1	824	1132
2	1152	1420
3	877	1327
4	903	918
5	751	1327
6	791	892
7	253	633
8	824	1255
9	142	978
10	171	1304
11	631	651
12	551	733
13	1163	1276
14	1296	1308
15	767	1215
16	316	809
17	375	444
18	116	666
19	33	117

705 177 64
960 656 164
683 485 991
796 453 735
259 257 676
416 929 775
603 15 103
54 462 13
681 863 650
569 403 299
35 102 163
904 402 722
881 755 818
685 101 293
307 446 276
310 975 462
559 943 717
725 333 216
903 879 33
898 396 924
