20 3 3
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	1422	1437
1	1410	1435
2	1048	1396
3	881	1227
4	411	635
5	1337	1368
6	1322	1434
7	687	1276
8	1004	1108
9	755	1404
10	312	709
11	1292	1370
12	532	705
13	1215	1426
14	390	1024
15	350	1081
16	739	1167
17	1274	1374
18	814	1361
19	722	724

236 587 749
26 696 189
640 429 51
594 568 811
808 780 382
669 50 981
812 403 364
999 61 691
51 145 352
659 290 253
924 14 94
466 466 499
935 189 187
113 65 308
154 34 159
488 213 757
845 939 157
695 524 63
442 258 790
600 394 473
