80 3 4
1000 1000 1000
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	332	589
1	933	1223
2	1319	1379
3	212	320
4	1334	1431
5	834	1003
6	434	1175
7	1405	1411
8	1350	1377
9	1426	1436
10	941	1363
11	932	1088
12	713	940
13	472	1066
14	1294	1393
15	83	921
16	366	853
17	896	1407
18	908	1375
19	330	728
20	132	678
21	1016	1029
22	820	1289
23	1176	1427
24	1298	1403
25	475	1041
26	993	1082
27	1180	1434
28	341	794
29	1243	1304
30	395	1371
31	981	1377
32	515	1143
33	159	645
34	1310	1373
35	832	1211
36	1072	1101
37	384	544
38	133	508
39	98	1138
40	734	1128
41	89	602
42	845	1001
43	191	1176
44	296	1369
45	486	1073
46	685	869
47	612	828
48	654	993
49	1067	1074
50	164	1114
51	1153	1325
52	346	611
53	496	497
54	324	364
55	469	1158
56	484	915
57	447	966
58	683	1166
59	756	1253
60	682	1316
61	834	1311
62	501	599
63	1328	1363
64	1244	1308
65	1175	1377
66	581	1270
67	230	1017
68	520	746
69	1414	1416
70	936	1136
71	1384	1419
72	156	957
73	1413	1414
74	1364	1389
75	40	80
76	997	1089
77	500	978
78	798	855
79	660	1220

945 920 862
771 648 527
590 616 934
766 336 123
545 164 154
724 60 111
911 389 658
196 624 982
116 168 964
951 695 852
374 767 900
142 867 127
743 380 512
956 17 69
298 523 863
735 63 880
634 462 232
222 444 786
364 787 538
898 54 91
542 198 447
461 657 755
66 711 842
583 302 830
645 545 839
251 350 681
795 376 220
305 95 35
781 852 189
830 893 917
225 958 968
783 604 340
53 32 278
444 113 148
751 459 504
627 176 523
343 389 807
185 418 163
426 887 517
428 519 561
742 945 237
615 848 609
198 557 795
671 698 96
364 686 610
357 203 103
372 143 260
86 210 611
471 684 422
93 100 405
536 426 911
593 359 383
311 871 246
615 543 318
530 323 798
323 257 968
273 201 196
500 886 393
2 896 821
615 74 191
990 490 291
696 628 346
815 790 678
124 551 593
604 814 276
632 830 399
766 800 925
624 522 867
410 232 342
515 918 638
600 242 886
352 155 688
814 323 471
254 989 692
465 904 76
819 523 11
752 339 839
300 195 574
1 85 669
700 297 816
