60 3 3
1000 1000 1000
1000 1000 1000
1000 1000 1000

0	276	904
1	161	852
2	126	482
3	1044	1185
4	255	1046
5	1048	1097
6	1437	1438
7	1380	1395
8	1183	1266
9	118	803
10	1321	1403
11	820	1104
12	25	1196
13	465	466
14	1129	1191
15	105	251
16	1136	1247
17	1067	1110
18	753	926
19	638	1399
20	134	703
21	962	1118
22	652	1334
23	527	973
24	960	1025
25	523	646
26	492	1319
27	327	918
28	4	759
29	757	1007
30	1166	1413
31	1222	1249
32	1098	1252
33	788	1393
34	432	445
35	807	1294
36	1397	1430
37	1251	1323
38	611	1400
39	1176	1305
40	543	755
41	662	825
42	376	1248
43	532	911
44	28	350
45	1222	1430
46	540	1151
47	773	1214
48	1092	1418
49	365	1130
50	898	1436
51	661	1228
52	131	832
53	306	1417
54	1149	1342
55	121	383
56	212	393
57	330	1031
58	1284	1431
59	711	830

740 191 756
584 359 933
685 211 419
681 383 316
513 692 669
432 627 640
832 15 78
525 66 948
219 778 478
232 466 460
3 317 305
387 114 23
313 413 860
681 759 869
862 806 678
556 860 309
848 360 630
352 232 822
928 905 108
775 108 311
930 266 552
579 988 176
732 66 778
694 396 941
802 3 198
451 394 651
860 607 361
719 303 754
618 236 413
35 869 404
297 96 311
105 699 377
810 809 645
434 747 73
206 919 180
967 212 173
326 896 622
293 20 687
621 452 903
59 609 79
51 49 790
797 433 655
545 90 55
745 82 537
415 954 25
352 488 511
426 386 494
522 638 53
185 738 635
650 685 636
502 310 700
158 662 301
889 246 89
737 264 773
315 65 710
929 520 33
800 964 522
96 740 504
840 909 827
587 132 389
