Instance:Instances/0/100/3/4/instance0-100-3-4.data
Solution status:Mip1
Optimal Value=54
temps écoulé (en secondes):7.17986
IdMachine Nombre de jobs ordonnancés
0 15
1 13
2 14
3 12
IdMachine n°Job Si Fi 
0 0 1379 1416
0 10 106 369
0 13 935 1021
0 17 1367 1379
0 22 377 749
0 23 472 640
0 44 1287 1347
0 51 640 1128
0 52 1056 1232
0 70 834 885
0 89 1290 1328
0 91 534 695
0 92 1233 1286
0 94 1406 1410
0 95 1351 1354
1 1 755 869
1 9 878 927
1 12 1297 1422
1 41 1217 1388
1 42 508 706
1 53 523 760
1 55 136 242
1 59 1165 1262
1 60 465 499
1 64 293 417
1 65 986 1010
1 78 1064 1159
1 81 1431 1434
2 8 1430 1436
2 16 643 698
2 18 1208 1214
2 19 224 256
2 24 1077 1205
2 33 549 553
2 36 1272 1426
2 57 845 985
2 62 1015 1061
2 69 10 201
2 71 336 538
2 75 715 844
2 90 1246 1417
2 99 877 1163
3 4 1292 1310
3 21 1400 1432
3 25 977 1053
3 29 839 1291
3 37 1403 1440
3 47 1336 1353
3 67 1097 1335
3 72 226 274
3 85 1338 1376
3 86 644 963
3 97 160 241
3 98 321 605
Instance:Instances/0/100/3/4/instance1-100-3-4.data
Solution status:Mip1
Optimal Value=50
temps écoulé (en secondes):7.70108
IdMachine Nombre de jobs ordonnancés
0 12
1 13
2 13
3 12
IdMachine n°Job Si Fi 
0 12 1133 1301
0 21 433 1110
0 25 9 220
0 26 31 109
0 32 372 1068
0 39 1322 1329
0 60 1416 1434
0 67 327 353
0 70 595 1005
0 76 1439 1440
0 96 1330 1357
0 97 1397 1412
1 2 63 328
1 3 294 786
1 8 1409 1439
1 16 1318 1401
1 19 1439 1440
1 31 818 866
1 43 1268 1346
1 44 1095 1161
1 53 107 207
1 63 1171 1262
1 87 651 774
1 88 981 1055
1 99 1390 1424
2 6 670 709
2 14 408 585
2 17 1315 1365
2 29 781 849
2 30 507 725
2 34 169 336
2 37 1223 1361
2 47 1188 1307
2 48 811 921
2 51 1425 1433
2 64 1393 1437
2 78 976 1214
2 81 28 446
3 27 583 825
3 28 1212 1341
3 41 1320 1345
3 52 890 1142
3 55 1150 1200
3 57 1407 1414
3 66 563 1038
3 73 1220 1368
3 75 273 374
3 82 1204 1276
3 84 1350 1366
3 86 90 212
Instance:Instances/0/100/3/4/instance2-100-3-4.data
Solution status:Mip1
Optimal Value=45
temps écoulé (en secondes):5.20865
IdMachine Nombre de jobs ordonnancés
0 15
1 10
2 11
3 9
IdMachine n°Job Si Fi 
0 3 1074 1173
0 4 864 928
0 10 1072 1193
0 11 1302 1337
0 20 48 227
0 25 488 532
0 26 1017 1044
0 31 689 860
0 41 1357 1369
0 61 919 962
0 63 1356 1431
0 65 726 863
0 83 1373 1396
0 86 1202 1276
0 97 555 719
1 18 1190 1308
1 29 1310 1330
1 30 434 551
1 44 947 1356
1 52 1379 1406
1 64 911 948
1 69 966 1023
1 74 540 847
1 92 1045 1162
1 99 1151 1394
2 14 182 221
2 23 1159 1222
2 24 249 1179
2 33 401 493
2 48 517 828
2 49 941 1042
2 73 1275 1307
2 77 912 1078
2 78 1315 1388
2 90 1392 1433
2 91 1206 1250
3 1 1263 1335
3 15 1011 1152
3 16 817 951
3 32 1070 1209
3 50 677 802
3 72 1368 1401
3 75 124 591
3 87 785 1301
3 88 498 620
Instance:Instances/0/100/3/4/instance3-100-3-4.data
Solution status:Mip1
Optimal Value=49
temps écoulé (en secondes):4.5603
IdMachine Nombre de jobs ordonnancés
0 13
1 8
2 16
3 12
IdMachine n°Job Si Fi 
0 23 1239 1283
0 33 370 510
0 35 1283 1296
0 43 127 204
0 47 866 1027
0 72 368 606
0 73 1107 1190
0 79 1312 1380
0 84 792 852
0 91 1214 1228
0 95 1386 1436
0 96 618 789
0 98 328 364
1 2 1134 1312
1 54 728 1057
1 65 1375 1418
1 67 698 1114
1 71 261 540
1 90 56 398
1 94 1100 1306
1 97 1313 1366
2 0 1218 1347
2 1 984 1045
2 18 1360 1397
2 19 1099 1146
2 20 1189 1195
2 27 101 386
2 39 92 93
2 41 895 1093
2 55 611 748
2 59 1425 1428
2 60 1347 1359
2 61 625 728
2 69 75 241
2 77 775 871
2 81 1413 1422
2 92 1272 1338
3 11 1340 1380
3 12 1295 1296
3 22 1185 1289
3 26 1331 1337
3 44 1411 1419
3 45 1313 1322
3 46 670 917
3 53 161 551
3 58 131 503
3 63 556 759
3 76 137 438
3 82 1019 1180
Instance:Instances/0/100/3/4/instance4-100-3-4.data
Solution status:Mip1
Optimal Value=40
temps écoulé (en secondes):20.0585
IdMachine Nombre de jobs ordonnancés
0 9
1 9
2 12
3 10
IdMachine n°Job Si Fi 
0 2 1293 1339
0 29 1000 1009
0 35 64 478
0 46 480 773
0 48 831 854
0 49 1043 1281
0 51 574 1391
0 65 1398 1425
0 85 506 914
1 3 383 638
1 4 750 840
1 22 1412 1425
1 40 1272 1324
1 47 104 325
1 60 977 1386
1 66 847 859
1 83 1170 1258
1 86 638 705
2 11 1378 1380
2 14 1418 1426
2 15 406 556
2 17 946 1051
2 34 994 1373
2 39 814 916
2 52 574 705
2 55 942 1180
2 63 154 181
2 67 1290 1337
2 79 316 364
2 81 620 807
3 0 259 511
3 10 809 992
3 13 1102 1223
3 23 1260 1382
3 31 649 791
3 37 1246 1266
3 72 531 639
3 73 1262 1387
3 82 68 187
3 99 1416 1425
Instance:Instances/0/100/3/4/instance5-100-3-4.data
Solution status:Mip1
Optimal Value=46
temps écoulé (en secondes):8.45202
IdMachine Nombre de jobs ordonnancés
0 10
1 12
2 13
3 11
IdMachine n°Job Si Fi 
0 0 745 1011
0 5 544 742
0 17 144 453
0 29 815 1048
0 44 1189 1368
0 45 1095 1300
0 60 1378 1421
0 62 1027 1068
0 87 1437 1438
0 99 470 742
1 3 500 527
1 24 1124 1272
1 26 762 827
1 27 559 690
1 28 885 1112
1 31 399 535
1 49 1010 1080
1 72 782 1195
1 80 1351 1386
1 86 1403 1419
1 90 1373 1440
1 94 310 1121
2 9 1126 1218
2 15 1338 1434
2 16 1343 1435
2 33 1307 1328
2 38 611 893
2 42 160 504
2 50 799 967
2 56 1436 1440
2 59 981 1116
2 68 994 1238
2 69 1265 1280
2 78 597 726
2 84 370 823
3 6 546 806
3 13 175 290
3 18 688 729
3 25 1322 1378
3 36 1358 1406
3 43 1047 1076
3 47 338 345
3 51 453 527
3 75 1412 1419
3 85 1152 1322
3 91 877 1002
Instance:Instances/0/100/3/4/instance6-100-3-4.data
Solution status:Mip1
Optimal Value=41
temps écoulé (en secondes):5.14129
IdMachine Nombre de jobs ordonnancés
0 11
1 11
2 11
3 8
IdMachine n°Job Si Fi 
0 0 1057 1153
0 7 1238 1350
0 17 1215 1297
0 24 405 704
0 42 369 845
0 44 320 1151
0 61 148 264
0 78 1360 1363
0 86 1206 1210
0 88 1434 1439
0 97 876 1015
1 15 577 685
1 25 1343 1431
1 28 824 982
1 33 711 789
1 34 1262 1285
1 47 965 1001
1 56 249 575
1 58 1323 1329
1 64 1437 1438
1 68 1074 1243
1 85 112 176
2 1 1194 1300
2 13 1188 1227
2 20 1386 1421
2 35 514 879
2 45 461 740
2 46 37 266
2 55 571 758
2 66 1263 1425
2 75 286 332
2 98 1011 1093
2 99 943 988
3 8 1332 1428
3 10 971 1411
3 23 318 743
3 36 224 469
3 37 492 694
3 51 901 1263
3 54 843 968
3 72 749 817
Instance:Instances/0/100/3/4/instance7-100-3-4.data
Solution status:Mip1
Optimal Value=40
temps écoulé (en secondes):6.3424
IdMachine Nombre de jobs ordonnancés
0 10
1 10
2 9
3 11
IdMachine n°Job Si Fi 
0 12 363 614
0 15 1066 1195
0 22 492 848
0 32 386 1040
0 35 1248 1309
0 48 1325 1326
0 59 815 900
0 74 1255 1341
0 94 937 1047
0 96 1343 1422
1 11 989 1185
1 20 1046 1189
1 27 1248 1311
1 33 1317 1356
1 36 597 708
1 38 1382 1428
1 44 12 33
1 83 146 533
1 88 585 819
1 92 860 918
2 16 168 364
2 23 1026 1167
2 28 1235 1275
2 30 1396 1402
2 41 1436 1439
2 57 1276 1410
2 68 641 927
2 89 387 611
2 99 641 1008
3 3 1054 1264
3 13 1301 1303
3 17 573 665
3 39 1329 1385
3 46 1386 1428
3 56 954 1049
3 71 636 855
